id,name,street_address,town,postcode,join_date,status,acquisition_source,churn_date
1,Linda Wright,28 Tithe Barn,Cowes,PO31 7LO,2025-09-29,Active,Organic,
2,William Johnson,6 Arctic Rd,Bembridge,PO35 5KB,2025-05-18,Active,Organic,
3,Elizabeth Davies,85 Park Rd,Cowes,PO31 5QO,2026-01-19,Active,Organic,
4,William Taylor,82 High St,Cowes,PO31 4RF,2026-02-16,Active,Facebook Ads,
5,Mary Taylor,50 High St,Ryde,PO33 1SQ,2024-06-11,Active,Organic,
6,Patricia Wright,8 York St,Newport,PO30 2FO,2025-03-29,Active,Facebook Ads,
7,James Taylor,9 High St,Freshwater,PO40 5HJ,2023-08-30,Active,Door-to-Door,
8,Linda Wilson,15 Park Rd,Ryde,PO33 4GK,2025-09-11,Active,Local Fair,
9,William Wright,108 Arctic Rd,Newport,PO30 6KX,2023-09-23,Active,Organic,
10,William Brown,30 Mill Hill Rd,East Cowes,PO32 3JA,2023-10-08,Active,Radio Ad,
11,Robert Wilson,74 Victoria Ave,Shanklin,PO37 3VI,2024-12-17,Active,Organic,
12,Robert Davies,68 London Rd,Cowes,PO31 7MU,2023-10-05,Active,Organic,
13,Jennifer Smith,72 Arctic Rd,Sandown,PO36 5UG,2023-04-18,Churned,Instagram Influencer,2024-10-04
14,Patricia Brown,96 Victoria Ave,Newport,PO30 5XO,2025-07-24,Active,Instagram Influencer,
15,Michael Jones,32 Victoria Ave,Newport,PO30 5ZY,2023-10-27,Active,Door-to-Door,
16,Patricia Johnson,105 Broadway,Shanklin,PO37 5TY,2023-10-08,Active,Radio Ad,
17,Linda Wright,111 High St,Newport,PO30 9IM,2025-05-27,Active,Sponsorship,
18,John Smith,12 Arctic Rd,Cowes,PO31 8QX,2024-10-06,Active,Organic,
19,James Johnson,46 Station Rd,Ventnor,PO38 8ZD,2026-01-31,Active,Leaflets,
20,Mary Johnson,104 York St,Shanklin,PO37 4VP,2024-02-28,Active,Local Fair,
21,Linda Wilson,66 Tithe Barn,Cowes,PO31 5RG,2024-01-12,Active,Organic,
22,Linda Smith,92 Broadway,Ryde,PO33 7BE,2025-08-09,Active,Organic,
23,James Davies,13 Queens Rd,Newport,PO30 7JD,2023-05-13,Active,Organic,
24,Elizabeth Robinson,99 Main Rd,Cowes,PO31 1VI,2025-04-06,Churned,Door-to-Door,2025-07-09
25,Jennifer Brown,24 Park Rd,Cowes,PO31 9YV,2023-07-07,Churned,Organic,2024-08-22
26,James Brown,6 Queens Rd,Ryde,PO33 9NO,2025-10-14,Active,Google Search,
27,William Jones,86 High St,Cowes,PO31 2VJ,2025-12-18,Active,Door-to-Door,
28,Elizabeth Brown,36 High St,Bembridge,PO35 9FA,2024-06-25,Active,Door-to-Door,
29,Michael Brown,142 London Rd,Newport,PO30 5CF,2023-09-30,Active,Google Search,
30,Jennifer Brown,66 Main Rd,Newport,PO30 1KU,2024-03-18,Active,Local Fair,
31,Jennifer Taylor,3 High St,Bembridge,PO35 5SX,2025-06-06,Active,Sponsorship,
32,William Wright,93 London Rd,Cowes,PO31 2VC,2026-02-01,Active,Organic,
33,William Wilson,83 High St,Cowes,PO31 1YC,2025-04-01,Active,Organic,
34,John Wright,84 High St,Newport,PO30 8GL,2024-09-03,Active,Organic,
35,Robert Johnson,98 Mill Hill Rd,Newport,PO30 2DO,2023-06-17,Active,Local Fair,
36,James Wright,115 Church Rd,Ryde,PO33 5VB,2024-11-20,Active,Organic,
37,Robert Williams,3 Broadway,Cowes,PO31 9FC,2024-01-30,Active,Organic,
38,Jennifer Smith,136 Queens Rd,Cowes,PO31 2ED,2023-07-20,Active,Organic,
39,Michael Wilson,124 Park Rd,Freshwater,PO40 5CF,2025-10-07,Active,Organic,
40,Robert Smith,115 Church Rd,Shanklin,PO37 4VP,2024-11-23,Active,Organic,
41,James Taylor,38 Mill Hill Rd,Newport,PO30 2EI,2025-09-27,Active,Organic,
42,John Taylor,58 London Rd,Newport,PO30 5JA,2023-05-29,Active,Organic,
43,Mary Brown,58 Tithe Barn,East Cowes,PO32 8TA,2023-03-03,Active,Door-to-Door,
44,Michael Williams,116 Church Rd,East Cowes,PO32 8QF,2026-02-09,Active,Organic,
45,John Wilson,126 Mill Hill Rd,Shanklin,PO37 1KD,2025-01-01,Active,Door-to-Door,
46,Jennifer Wright,95 Mill Hill Rd,Ryde,PO33 4UV,2024-05-29,Active,Organic,
47,Robert Wilson,88 Queens Rd,Shanklin,PO37 8BL,2023-03-09,Active,Door-to-Door,
48,James Taylor,16 London Rd,Ryde,PO33 4TW,2025-08-05,Active,Radio Ad,
49,Patricia Wilson,136 York St,Newport,PO30 1OE,2025-04-29,Active,Facebook Ads,
50,James Brown,38 Mill Hill Rd,Newport,PO30 7WO,2025-08-10,Churned,Organic,2026-02-02
51,Robert Johnson,100 Church Rd,Ventnor,PO38 3PB,2026-04-12,Active,Organic,
52,Linda Taylor,86 London Rd,Shanklin,PO37 3UX,2025-04-10,Active,Door-to-Door,
53,William Smith,74 Arctic Rd,East Cowes,PO32 4GE,2025-09-08,Active,Leaflets,
54,Elizabeth Jones,16 London Rd,Cowes,PO31 3II,2024-06-29,Churned,Organic,2025-07-02
55,John Robinson,43 Tithe Barn,Sandown,PO36 5VT,2025-09-21,Active,Google Search,
56,James Davies,61 Park Rd,Shanklin,PO37 5JF,2023-05-02,Active,Organic,
57,James Smith,95 Broadway,Seaview,PO34 6ZQ,2024-05-15,Active,Organic,
58,James Wright,41 York St,Totland Bay,PO39 1HU,2023-01-12,Active,Organic,
59,Patricia Johnson,24 Victoria Ave,Newport,PO30 6BW,2023-12-26,Active,Organic,
60,William Jones,111 York St,Newport,PO30 4MS,2024-09-21,Active,Organic,
61,Robert Brown,139 Queens Rd,Newport,PO30 4UP,2023-06-23,Active,Organic,
62,Jennifer Wilson,85 York St,Newport,PO30 8IK,2024-04-18,Active,Billboards,
63,Jennifer Brown,104 Queens Rd,Shanklin,PO37 5SO,2024-03-04,Active,Local Fair,
64,Mary Robinson,8 Park Rd,Newport,PO30 8RR,2025-05-27,Active,Organic,
